Account_ID,Base_Hardware,Connected_Device_Count,Avg_Monthly_Data_Usage_GB,Data_Tier_Ceiling_Hits_6M,Upgrade_Page_Views_30D,Propensity_Score_Calculated,Marketing_Action_Segment,Actual_Upgrade_Occurred
IOT_ACC_000017,Multi_Sensor_Hub,2,1.98,1,2,42.1,Low_Propensity_Keep_Basic,1
IOT_ACC_000018,Multi_Sensor_Hub,6,1.96,0,1,38.8,Low_Propensity_Keep_Basic,1
IOT_ACC_000019,Smart_Cam_Solo,1,3.99,1,3,48.2,Warm_Educational_Nurture,1
IOT_ACC_000020,Multi_Sensor_Hub,4,3.47,0,1,47.9,Warm_Educational_Nurture,0
IOT_ACC_000021,Smart_Cam_Solo,5,2.86,2,2,48.6,Warm_Educational_Nurture,1
IOT_ACC_000022,Smart_Cam_Solo,4,1.75,1,0,38.3,Low_Propensity_Keep_Basic,0
IOT_ACC_000023,Multi_Sensor_Hub,3,3.0,1,0,31.0,Low_Propensity_Keep_Basic,0
IOT_ACC_000024,Multi_Sensor_Hub,3,3.06,1,0,33.7,Low_Propensity_Keep_Basic,1
IOT_ACC_000025,Multi_Sensor_Hub,2,4.1,2,3,64.9,Warm_Educational_Nurture,1
IOT_ACC_000026,Smart_Cam_Solo,2,3.28,2,0,34.6,Low_Propensity_Keep_Basic,0
IOT_ACC_000027,Video_Doorbell_Basic,7,1.36,1,2,43.4,Low_Propensity_Keep_Basic,1
IOT_ACC_000028,Video_Doorbell_Basic,2,3.13,0,1,32.4,Low_Propensity_Keep_Basic,0
IOT_ACC_000029,Video_Doorbell_Basic,7,7.81,3,9,100.0,Hot_Lead_Direct_Offer,1
IOT_ACC_000030,Smart_Cam_Solo,4,4.67,5,2,85.9,Hot_Lead_Direct_Offer,1
IOT_ACC_000031,Multi_Sensor_Hub,2,2.7,1,0,32.9,Low_Propensity_Keep_Basic,0
IOT_ACC_000032,Smart_Cam_Solo,1,6.83,3,3,84.4,Hot_Lead_Direct_Offer,1
IOT_ACC_000033,Multi_Sensor_Hub,3,0.27,0,0,19.6,Low_Propensity_Keep_Basic,0
IOT_ACC_000034,Video_Doorbell_Basic,6,4.79,5,2,81.9,Hot_Lead_Direct_Offer,1
IOT_ACC_000035,Smart_Cam_Solo,5,3.72,0,1,52.3,Warm_Educational_Nurture,1
IOT_ACC_000036,Smart_Cam_Solo,2,6.64,5,5,100.0,Hot_Lead_Direct_Offer,1
IOT_ACC_000037,Smart_Cam_Solo,2,2.94,1,0,31.7,Low_Propensity_Keep_Basic,0
IOT_ACC_000038,Video_Doorbell_Basic,3,5.73,3,4,85.4,Hot_Lead_Direct_Offer,1
IOT_ACC_000039,Multi_Sensor_Hub,3,5.34,4,0,74.3,Warm_Educational_Nurture,1
IOT_ACC_000040,Smart_Cam_Solo,2,2.46,0,1,27.9,Low_Propensity_Keep_Basic,0
IOT_ACC_000041,Video_Doorbell_Basic,2,3.09,2,1,42.5,Low_Propensity_Keep_Basic,0
IOT_ACC_000042,Smart_Cam_Solo,4,7.9,4,3,100.0,Hot_Lead_Direct_Offer,1
IOT_ACC_000043,Smart_Cam_Solo,3,4.97,6,1,75.7,Hot_Lead_Direct_Offer,1
IOT_ACC_000044,Multi_Sensor_Hub,4,10.39,4,3,100.0,Hot_Lead_Direct_Offer,1
IOT_ACC_000045,Video_Doorbell_Basic,6,2.45,0,1,42.8,Low_Propensity_Keep_Basic,1
IOT_ACC_000046,Smart_Cam_Solo,5,3.76,0,1,43.8,Low_Propensity_Keep_Basic,1
IOT_ACC_000047,Smart_Cam_Solo,3,7.03,6,4,100.0,Hot_Lead_Direct_Offer,1
IOT_ACC_000048,Video_Doorbell_Basic,2,4.78,5,4,78.9,Hot_Lead_Direct_Offer,0
IOT_ACC_000049,Smart_Cam_Solo,1,3.87,2,1,44.6,Low_Propensity_Keep_Basic,0
IOT_ACC_000050,Smart_Cam_Solo,2,3.27,2,2,53.6,Warm_Educational_Nurture,0
IOT_ACC_000051,Video_Doorbell_Basic,4,1.54,2,1,37.1,Low_Propensity_Keep_Basic,0
IOT_ACC_000052,Video_Doorbell_Basic,2,4.42,1,1,53.1,Warm_Educational_Nurture,1
IOT_ACC_000053,Video_Doorbell_Basic,4,3.9,0,2,46.6,Warm_Educational_Nurture,1
IOT_ACC_000054,Video_Doorbell_Basic,4,4.63,4,3,74.1,Warm_Educational_Nurture,1
IOT_ACC_000055,Multi_Sensor_Hub,7,3.62,1,2,62.1,Warm_Educational_Nurture,1
IOT_ACC_000056,Multi_Sensor_Hub,5,1.99,1,0,38.2,Low_Propensity_Keep_Basic,1
IOT_ACC_000057,Smart_Cam_Solo,2,2.41,1,0,36.5,Low_Propensity_Keep_Basic,1
IOT_ACC_000058,Video_Doorbell_Basic,5,5.36,6,1,93.0,Hot_Lead_Direct_Offer,1
IOT_ACC_000059,Video_Doorbell_Basic,5,1.15,1,1,27.4,Low_Propensity_Keep_Basic,1
IOT_ACC_000060,Smart_Cam_Solo,3,2.72,2,0,41.9,Low_Propensity_Keep_Basic,0
IOT_ACC_000061,Video_Doorbell_Basic,2,7.19,6,4,100.0,Hot_Lead_Direct_Offer,1
IOT_ACC_000062,Video_Doorbell_Basic,1,5.47,6,1,83.5,Hot_Lead_Direct_Offer,1
IOT_ACC_000063,Multi_Sensor_Hub,4,1.49,1,0,32.3,Low_Propensity_Keep_Basic,1
IOT_ACC_000064,Smart_Cam_Solo,4,3.93,0,1,49.5,Warm_Educational_Nurture,0
IOT_ACC_000065,Smart_Cam_Solo,3,4.64,3,2,73.8,Warm_Educational_Nurture,1
IOT_ACC_000066,Video_Doorbell_Basic,4,2.57,0,1,42.6,Low_Propensity_Keep_Basic,0
IOT_ACC_000067,Multi_Sensor_Hub,3,3.15,1,1,44.3,Low_Propensity_Keep_Basic,0
IOT_ACC_000068,Multi_Sensor_Hub,4,4.19,0,3,52.9,Warm_Educational_Nurture,1
IOT_ACC_000069,Smart_Cam_Solo,2,2.0,2,0,31.2,Low_Propensity_Keep_Basic,0
IOT_ACC_000070,Smart_Cam_Solo,3,1.76,1,2,36.2,Low_Propensity_Keep_Basic,0
IOT_ACC_000071,Smart_Cam_Solo,1,1.87,0,0,28.7,Low_Propensity_Keep_Basic,1
IOT_ACC_000072,Smart_Cam_Solo,2,4.51,4,3,75.0,Warm_Educational_Nurture,0
IOT_ACC_000073,Smart_Cam_Solo,2,2.55,0,1,35.8,Low_Propensity_Keep_Basic,0
IOT_ACC_000074,Multi_Sensor_Hub,9,3.71,1,1,60.4,Warm_Educational_Nurture,1
IOT_ACC_000075,Multi_Sensor_Hub,3,1.81,2,2,51.3,Warm_Educational_Nurture,1
IOT_ACC_000076,Smart_Cam_Solo,2,2.02,2,1,35.0,Low_Propensity_Keep_Basic,0
IOT_ACC_000077,Smart_Cam_Solo,4,4.73,3,1,69.0,Warm_Educational_Nurture,1
IOT_ACC_000078,Multi_Sensor_Hub,1,4.17,1,1,41.4,Low_Propensity_Keep_Basic,1
IOT_ACC_000079,Video_Doorbell_Basic,4,3.45,2,2,55.0,Warm_Educational_Nurture,1
IOT_ACC_000080,Multi_Sensor_Hub,3,8.34,3,5,100.0,Hot_Lead_Direct_Offer,1
IOT_ACC_000081,Video_Doorbell_Basic,3,1.31,0,3,36.1,Low_Propensity_Keep_Basic,1
IOT_ACC_000082,Video_Doorbell_Basic,6,4.59,6,1,93.5,Hot_Lead_Direct_Offer,1
IOT_ACC_000083,Multi_Sensor_Hub,4,3.42,0,1,38.4,Low_Propensity_Keep_Basic,1
IOT_ACC_000084,Video_Doorbell_Basic,7,2.56,0,1,42.3,Low_Propensity_Keep_Basic,0
IOT_ACC_000085,Video_Doorbell_Basic,4,3.06,0,2,45.5,Warm_Educational_Nurture,1
IOT_ACC_000086,Multi_Sensor_Hub,1,1.75,1,2,31.5,Low_Propensity_Keep_Basic,0
IOT_ACC_000087,Multi_Sensor_Hub,2,4.01,1,2,58.2,Warm_Educational_Nurture,0
IOT_ACC_000088,Video_Doorbell_Basic,4,2.07,0,1,35.9,Low_Propensity_Keep_Basic,0
IOT_ACC_000089,Smart_Cam_Solo,4,1.78,0,2,37.8,Low_Propensity_Keep_Basic,0
IOT_ACC_000090,Smart_Cam_Solo,2,2.13,2,1,51.3,Warm_Educational_Nurture,0
IOT_ACC_000091,Video_Doorbell_Basic,6,4.5,0,2,50.8,Warm_Educational_Nurture,1
IOT_ACC_000092,Smart_Cam_Solo,3,3.22,0,2,50.3,Warm_Educational_Nurture,1
IOT_ACC_000093,Video_Doorbell_Basic,2,0.98,2,0,22.2,Low_Propensity_Keep_Basic,0
IOT_ACC_000094,Multi_Sensor_Hub,3,2.97,2,0,53.8,Warm_Educational_Nurture,1
IOT_ACC_000095,Multi_Sensor_Hub,3,3.52,2,3,54.9,Warm_Educational_Nurture,1
IOT_ACC_000096,Multi_Sensor_Hub,5,5.95,6,2,97.5,Hot_Lead_Direct_Offer,1
IOT_ACC_000097,Video_Doorbell_Basic,3,5.56,6,2,87.9,Hot_Lead_Direct_Offer,0
IOT_ACC_000098,Smart_Cam_Solo,4,6.06,4,3,99.5,Hot_Lead_Direct_Offer,1
IOT_ACC_000099,Multi_Sensor_Hub,3,4.19,1,2,62.9,Warm_Educational_Nurture,1
IOT_ACC_000100,Video_Doorbell_Basic,3,5.29,5,3,100.0,Hot_Lead_Direct_Offer,1
IOT_ACC_000101,Video_Doorbell_Basic,5,1.57,2,2,47.1,Warm_Educational_Nurture,1
IOT_ACC_000102,Smart_Cam_Solo,1,5.25,3,3,71.2,Warm_Educational_Nurture,1
IOT_ACC_000103,Video_Doorbell_Basic,3,2.8,1,2,43.0,Low_Propensity_Keep_Basic,1
IOT_ACC_000104,Multi_Sensor_Hub,2,3.94,1,1,54.0,Warm_Educational_Nurture,0
IOT_ACC_000105,Video_Doorbell_Basic,2,2.48,0,1,36.0,Low_Propensity_Keep_Basic,0
IOT_ACC_000106,Video_Doorbell_Basic,2,3.35,2,2,47.5,Warm_Educational_Nurture,0
IOT_ACC_000107,Smart_Cam_Solo,4,3.5,2,2,57.3,Warm_Educational_Nurture,0
IOT_ACC_000108,Multi_Sensor_Hub,1,3.27,1,1,31.6,Low_Propensity_Keep_Basic,0
IOT_ACC_000109,Smart_Cam_Solo,3,1.85,0,1,27.5,Low_Propensity_Keep_Basic,1
IOT_ACC_000110,Smart_Cam_Solo,1,3.84,2,5,62.8,Warm_Educational_Nurture,1
IOT_ACC_000111,Smart_Cam_Solo,3,1.81,1,1,30.8,Low_Propensity_Keep_Basic,0
IOT_ACC_000112,Smart_Cam_Solo,4,4.96,4,3,91.3,Hot_Lead_Direct_Offer,1
IOT_ACC_000113,Multi_Sensor_Hub,4,3.15,1,2,52.9,Warm_Educational_Nurture,1
IOT_ACC_000114,Multi_Sensor_Hub,3,2.44,2,2,41.1,Low_Propensity_Keep_Basic,1
IOT_ACC_000115,Video_Doorbell_Basic,1,2.5,0,0,22.8,Low_Propensity_Keep_Basic,0
IOT_ACC_000116,Smart_Cam_Solo,3,4.04,0,6,65.1,Warm_Educational_Nurture,0
IOT_ACC_000117,Smart_Cam_Solo,2,2.21,1,2,31.8,Low_Propensity_Keep_Basic,0
IOT_ACC_000118,Video_Doorbell_Basic,5,0.67,2,0,33.5,Low_Propensity_Keep_Basic,0
IOT_ACC_000119,Multi_Sensor_Hub,6,5.82,3,4,97.6,Hot_Lead_Direct_Offer,0
IOT_ACC_000120,Smart_Cam_Solo,4,9.13,6,3,100.0,Hot_Lead_Direct_Offer,1
IOT_ACC_000121,Smart_Cam_Solo,2,2.96,1,1,37.9,Low_Propensity_Keep_Basic,1
IOT_ACC_000122,Smart_Cam_Solo,2,3.26,1,1,38.1,Low_Propensity_Keep_Basic,0
IOT_ACC_000123,Multi_Sensor_Hub,3,1.47,1,1,25.8,Low_Propensity_Keep_Basic,0
IOT_ACC_000124,Video_Doorbell_Basic,4,1.44,1,2,36.0,Low_Propensity_Keep_Basic,1
IOT_ACC_000125,Multi_Sensor_Hub,2,3.69,2,4,56.2,Warm_Educational_Nurture,1
IOT_ACC_000126,Multi_Sensor_Hub,4,2.02,2,0,37.1,Low_Propensity_Keep_Basic,1
IOT_ACC_000127,Smart_Cam_Solo,2,2.28,0,0,24.8,Low_Propensity_Keep_Basic,0
IOT_ACC_000128,Video_Doorbell_Basic,2,7.23,3,5,91.9,Hot_Lead_Direct_Offer,1
IOT_ACC_000129,Multi_Sensor_Hub,6,2.5,1,0,39.4,Low_Propensity_Keep_Basic,0
IOT_ACC_000130,Multi_Sensor_Hub,2,5.15,5,1,81.6,Hot_Lead_Direct_Offer,0
IOT_ACC_000131,Smart_Cam_Solo,2,5.89,5,2,79.0,Hot_Lead_Direct_Offer,1
IOT_ACC_000132,Smart_Cam_Solo,3,4.52,6,5,100.0,Hot_Lead_Direct_Offer,1
IOT_ACC_000133,Smart_Cam_Solo,5,0.79,0,1,21.0,Low_Propensity_Keep_Basic,0
IOT_ACC_000134,Video_Doorbell_Basic,3,2.93,1,0,31.8,Low_Propensity_Keep_Basic,0
IOT_ACC_000135,Video_Doorbell_Basic,1,3.27,2,3,52.2,Warm_Educational_Nurture,1
IOT_ACC_000136,Smart_Cam_Solo,4,1.03,1,0,18.2,Low_Propensity_Keep_Basic,0
IOT_ACC_000137,Video_Doorbell_Basic,2,1.33,2,0,31.0,Low_Propensity_Keep_Basic,0
IOT_ACC_000138,Multi_Sensor_Hub,2,8.18,4,3,100.0,Hot_Lead_Direct_Offer,1
IOT_ACC_000139,Video_Doorbell_Basic,3,1.89,2,1,37.6,Low_Propensity_Keep_Basic,0
IOT_ACC_000140,Smart_Cam_Solo,5,6.34,4,3,98.5,Hot_Lead_Direct_Offer,1
IOT_ACC_000141,Multi_Sensor_Hub,6,3.84,1,2,56.2,Warm_Educational_Nurture,0
IOT_ACC_000142,Video_Doorbell_Basic,2,3.99,1,3,60.4,Warm_Educational_Nurture,0
IOT_ACC_000143,Video_Doorbell_Basic,4,3.53,1,3,57.0,Warm_Educational_Nurture,1
IOT_ACC_000144,Video_Doorbell_Basic,4,4.72,5,4,92.7,Hot_Lead_Direct_Offer,1
IOT_ACC_000145,Smart_Cam_Solo,2,2.31,0,2,34.2,Low_Propensity_Keep_Basic,1
IOT_ACC_000146,Smart_Cam_Solo,6,2.05,2,1,56.4,Warm_Educational_Nurture,1
IOT_ACC_000147,Multi_Sensor_Hub,3,4.47,0,2,44.2,Low_Propensity_Keep_Basic,0
IOT_ACC_000148,Multi_Sensor_Hub,5,2.01,0,0,30.9,Low_Propensity_Keep_Basic,0
IOT_ACC_000149,Video_Doorbell_Basic,7,1.67,1,1,52.1,Warm_Educational_Nurture,0
IOT_ACC_000150,Multi_Sensor_Hub,2,6.64,3,3,85.5,Hot_Lead_Direct_Offer,1
IOT_ACC_000151,Smart_Cam_Solo,3,2.33,2,0,48.2,Warm_Educational_Nurture,1
IOT_ACC_000152,Smart_Cam_Solo,5,3.54,0,2,52.0,Warm_Educational_Nurture,0
IOT_ACC_000153,Smart_Cam_Solo,3,0.83,2,0,25.8,Low_Propensity_Keep_Basic,0
IOT_ACC_000154,Smart_Cam_Solo,3,2.2,0,2,25.1,Low_Propensity_Keep_Basic,0
IOT_ACC_000155,Video_Doorbell_Basic,2,4.32,0,4,62.7,Warm_Educational_Nurture,0
IOT_ACC_000156,Multi_Sensor_Hub,1,0.51,1,0,11.3,Low_Propensity_Keep_Basic,0
IOT_ACC_000157,Smart_Cam_Solo,1,1.67,0,0,23.9,Low_Propensity_Keep_Basic,0
IOT_ACC_000158,Smart_Cam_Solo,4,3.43,1,0,32.5,Low_Propensity_Keep_Basic,1
IOT_ACC_000159,Smart_Cam_Solo,6,1.62,2,1,52.8,Warm_Educational_Nurture,1
IOT_ACC_000160,Video_Doorbell_Basic,3,3.34,1,2,56.3,Warm_Educational_Nurture,1
IOT_ACC_000161,Video_Doorbell_Basic,4,1.75,1,2,38.6,Low_Propensity_Keep_Basic,1
IOT_ACC_000162,Video_Doorbell_Basic,2,7.74,5,5,100.0,Hot_Lead_Direct_Offer,1
IOT_ACC_000163,Video_Doorbell_Basic,4,4.04,2,4,70.6,Warm_Educational_Nurture,1
IOT_ACC_000164,Smart_Cam_Solo,4,1.94,2,1,48.6,Warm_Educational_Nurture,1
IOT_ACC_000165,Multi_Sensor_Hub,2,6.94,5,3,96.8,Hot_Lead_Direct_Offer,1
IOT_ACC_000166,Video_Doorbell_Basic,4,3.85,2,1,62.5,Warm_Educational_Nurture,0
IOT_ACC_000167,Video_Doorbell_Basic,3,7.69,6,5,100.0,Hot_Lead_Direct_Offer,1
IOT_ACC_000168,Smart_Cam_Solo,1,5.88,3,5,85.0,Hot_Lead_Direct_Offer,1
IOT_ACC_000169,Video_Doorbell_Basic,5,8.42,3,3,100.0,Hot_Lead_Direct_Offer,1
IOT_ACC_000170,Smart_Cam_Solo,5,3.78,0,2,52.5,Warm_Educational_Nurture,0
IOT_ACC_000171,Video_Doorbell_Basic,3,6.09,3,4,88.3,Hot_Lead_Direct_Offer,1
IOT_ACC_000172,Multi_Sensor_Hub,2,5.38,3,4,72.7,Warm_Educational_Nurture,0
IOT_ACC_000173,Smart_Cam_Solo,2,0.83,0,1,8.9,Low_Propensity_Keep_Basic,0
IOT_ACC_000174,Multi_Sensor_Hub,4,6.28,4,2,91.0,Hot_Lead_Direct_Offer,1
IOT_ACC_000175,Multi_Sensor_Hub,3,1.24,2,0,24.9,Low_Propensity_Keep_Basic,0
IOT_ACC_000176,Video_Doorbell_Basic,3,2.91,1,1,46.3,Warm_Educational_Nurture,0
IOT_ACC_000177,Multi_Sensor_Hub,5,1.02,1,0,19.7,Low_Propensity_Keep_Basic,0
IOT_ACC_000178,Video_Doorbell_Basic,2,6.3,5,1,83.6,Hot_Lead_Direct_Offer,1
IOT_ACC_000179,Video_Doorbell_Basic,5,1.96,0,0,34.6,Low_Propensity_Keep_Basic,0
IOT_ACC_000180,Video_Doorbell_Basic,3,2.77,0,2,28.3,Low_Propensity_Keep_Basic,0
IOT_ACC_000181,Video_Doorbell_Basic,5,2.23,1,0,39.2,Low_Propensity_Keep_Basic,0
IOT_ACC_000182,Video_Doorbell_Basic,6,6.41,6,2,100.0,Hot_Lead_Direct_Offer,1
IOT_ACC_000183,Smart_Cam_Solo,2,3.29,0,2,34.6,Low_Propensity_Keep_Basic,0
IOT_ACC_000184,Multi_Sensor_Hub,4,3.94,1,3,64.3,Warm_Educational_Nurture,1
IOT_ACC_000185,Smart_Cam_Solo,4,2.83,2,0,49.9,Warm_Educational_Nurture,0
IOT_ACC_000186,Smart_Cam_Solo,2,11.79,3,2,100.0,Hot_Lead_Direct_Offer,1
IOT_ACC_000187,Smart_Cam_Solo,3,2.99,1,0,42.5,Low_Propensity_Keep_Basic,0
IOT_ACC_000188,Multi_Sensor_Hub,3,4.22,1,2,56.9,Warm_Educational_Nurture,0
IOT_ACC_000189,Multi_Sensor_Hub,1,5.11,6,2,78.2,Hot_Lead_Direct_Offer,1
IOT_ACC_000190,Multi_Sensor_Hub,5,2.21,0,2,39.6,Low_Propensity_Keep_Basic,0
IOT_ACC_000191,Smart_Cam_Solo,5,2.84,0,1,45.6,Warm_Educational_Nurture,0
IOT_ACC_000192,Smart_Cam_Solo,3,1.02,2,1,27.0,Low_Propensity_Keep_Basic,1
IOT_ACC_000193,Multi_Sensor_Hub,3,6.09,6,6,100.0,Hot_Lead_Direct_Offer,1
IOT_ACC_000194,Multi_Sensor_Hub,2,4.24,1,0,42.4,Low_Propensity_Keep_Basic,1
IOT_ACC_000195,Multi_Sensor_Hub,4,0.68,1,0,12.4,Low_Propensity_Keep_Basic,0
IOT_ACC_000196,Video_Doorbell_Basic,5,1.78,1,2,37.4,Low_Propensity_Keep_Basic,1
IOT_ACC_000197,Smart_Cam_Solo,4,3.48,1,2,61.0,Warm_Educational_Nurture,1
IOT_ACC_000198,Multi_Sensor_Hub,6,3.99,2,2,64.6,Warm_Educational_Nurture,1
IOT_ACC_000199,Smart_Cam_Solo,4,1.19,0,1,22.8,Low_Propensity_Keep_Basic,1
IOT_ACC_000200,Video_Doorbell_Basic,3,2.5,1,1,40.4,Low_Propensity_Keep_Basic,1
IOT_ACC_000201,Multi_Sensor_Hub,4,2.69,0,1,37.6,Low_Propensity_Keep_Basic,0
IOT_ACC_000202,Video_Doorbell_Basic,3,2.39,2,2,44.7,Low_Propensity_Keep_Basic,1
IOT_ACC_000203,Smart_Cam_Solo,3,6.68,5,2,93.3,Hot_Lead_Direct_Offer,0
IOT_ACC_000204,Smart_Cam_Solo,2,1.1,0,1,22.6,Low_Propensity_Keep_Basic,0
IOT_ACC_000205,Multi_Sensor_Hub,5,5.25,3,3,84.9,Hot_Lead_Direct_Offer,1
IOT_ACC_000206,Smart_Cam_Solo,4,1.89,1,1,39.2,Low_Propensity_Keep_Basic,0
IOT_ACC_000207,Video_Doorbell_Basic,4,3.34,0,2,49.7,Warm_Educational_Nurture,1
IOT_ACC_000208,Smart_Cam_Solo,4,4.53,6,3,87.5,Hot_Lead_Direct_Offer,1
IOT_ACC_000209,Video_Doorbell_Basic,3,5.42,6,4,100.0,Hot_Lead_Direct_Offer,1
IOT_ACC_000210,Smart_Cam_Solo,2,3.09,0,3,44.3,Low_Propensity_Keep_Basic,1
IOT_ACC_000211,Smart_Cam_Solo,3,4.18,0,1,47.5,Warm_Educational_Nurture,0
IOT_ACC_000212,Video_Doorbell_Basic,2,4.05,2,1,52.1,Warm_Educational_Nurture,1
IOT_ACC_000213,Multi_Sensor_Hub,4,1.74,0,1,24.2,Low_Propensity_Keep_Basic,1
IOT_ACC_000214,Multi_Sensor_Hub,3,6.74,3,4,95.7,Hot_Lead_Direct_Offer,1
IOT_ACC_000215,Multi_Sensor_Hub,6,3.98,0,4,56.3,Warm_Educational_Nurture,0
IOT_ACC_000216,Video_Doorbell_Basic,7,8.85,3,5,100.0,Hot_Lead_Direct_Offer,1
IOT_ACC_000217,Multi_Sensor_Hub,2,5.96,3,1,71.7,Warm_Educational_Nurture,0
IOT_ACC_000218,Multi_Sensor_Hub,2,2.05,1,2,36.3,Low_Propensity_Keep_Basic,0
IOT_ACC_000219,Smart_Cam_Solo,3,9.89,6,1,100.0,Hot_Lead_Direct_Offer,1
IOT_ACC_000220,Multi_Sensor_Hub,6,4.46,2,1,78.6,Hot_Lead_Direct_Offer,0
IOT_ACC_000221,Smart_Cam_Solo,4,1.07,0,0,29.8,Low_Propensity_Keep_Basic,0
IOT_ACC_000222,Smart_Cam_Solo,6,2.23,1,3,60.5,Warm_Educational_Nurture,0
IOT_ACC_000223,Smart_Cam_Solo,4,2.33,2,0,45.4,Warm_Educational_Nurture,1
IOT_ACC_000224,Multi_Sensor_Hub,3,0.91,1,0,24.6,Low_Propensity_Keep_Basic,0
IOT_ACC_000225,Smart_Cam_Solo,2,5.06,4,2,72.2,Warm_Educational_Nurture,0
IOT_ACC_000226,Smart_Cam_Solo,2,3.06,2,2,51.0,Warm_Educational_Nurture,0
IOT_ACC_000227,Smart_Cam_Solo,3,0.77,0,0,25.3,Low_Propensity_Keep_Basic,0
IOT_ACC_000228,Multi_Sensor_Hub,6,6.24,3,4,100.0,Hot_Lead_Direct_Offer,1
IOT_ACC_000229,Video_Doorbell_Basic,4,2.0,1,1,40.2,Low_Propensity_Keep_Basic,0
IOT_ACC_000230,Multi_Sensor_Hub,6,2.7,2,0,56.9,Warm_Educational_Nurture,1
IOT_ACC_000231,Video_Doorbell_Basic,3,2.11,1,0,30.0,Low_Propensity_Keep_Basic,0
IOT_ACC_000232,Multi_Sensor_Hub,2,0.83,1,1,21.6,Low_Propensity_Keep_Basic,0
IOT_ACC_000233,Multi_Sensor_Hub,4,4.24,2,3,62.4,Warm_Educational_Nurture,1
IOT_ACC_000234,Smart_Cam_Solo,5,1.04,1,2,53.2,Warm_Educational_Nurture,1
IOT_ACC_000235,Video_Doorbell_Basic,1,4.86,5,3,79.3,Hot_Lead_Direct_Offer,1
IOT_ACC_000236,Smart_Cam_Solo,4,3.31,2,2,58.5,Warm_Educational_Nurture,1
IOT_ACC_000237,Multi_Sensor_Hub,4,0.81,1,0,21.2,Low_Propensity_Keep_Basic,0
IOT_ACC_000238,Multi_Sensor_Hub,5,3.98,0,0,49.5,Warm_Educational_Nurture,0
IOT_ACC_000239,Smart_Cam_Solo,1,2.33,2,0,26.5,Low_Propensity_Keep_Basic,1
IOT_ACC_000240,Smart_Cam_Solo,3,4.89,3,2,73.7,Warm_Educational_Nurture,1
IOT_ACC_000241,Smart_Cam_Solo,4,4.45,2,4,79.8,Hot_Lead_Direct_Offer,1
IOT_ACC_000242,Smart_Cam_Solo,3,3.26,2,3,59.4,Warm_Educational_Nurture,1
IOT_ACC_000243,Smart_Cam_Solo,4,2.67,1,2,41.5,Low_Propensity_Keep_Basic,1
IOT_ACC_000244,Smart_Cam_Solo,3,3.58,1,1,49.2,Warm_Educational_Nurture,1
IOT_ACC_000245,Smart_Cam_Solo,2,2.95,1,1,37.8,Low_Propensity_Keep_Basic,0
IOT_ACC_000246,Multi_Sensor_Hub,3,4.52,6,1,82.2,Hot_Lead_Direct_Offer,1
IOT_ACC_000247,Video_Doorbell_Basic,3,4.19,2,1,47.9,Warm_Educational_Nurture,1
IOT_ACC_000248,Video_Doorbell_Basic,2,7.75,4,4,100.0,Hot_Lead_Direct_Offer,1
IOT_ACC_000249,Multi_Sensor_Hub,2,3.18,0,1,35.6,Low_Propensity_Keep_Basic,0
IOT_ACC_000250,Smart_Cam_Solo,5,3.49,1,4,62.2,Warm_Educational_Nurture,0
IOT_ACC_000251,Smart_Cam_Solo,2,3.8,1,0,46.2,Warm_Educational_Nurture,0
IOT_ACC_000252,Multi_Sensor_Hub,3,2.99,2,3,62.5,Warm_Educational_Nurture,1
